student_id	level	attempt
TRL_xsl	Level 4	1
TRL_xsl	Level 1	1
TRL_xsl	Level 2	1
TRL_xsl	Level 3	1
TRL_xsl	Level 4	1
TRL_xsl	Level 2	1
TRL_xsl	Level 2	1
TRL_xsl	Level 3	1
TRL_xsl	Level 4	1
TRL_xsl	Level 3	1
TRL_xsl	Level 3	1
TRL_xsl	Level 1	1
TRL_xsl	Level 2	1
TRL_xsl	Level 3	1
TRL_xsl	Level 1	1
TRL_xsl	Level 4	1
TRL_xsl	Level 4	1
TRL_xsl	Level 4	0
TRL_xsl	Level 1	1
TRL_xsl	Level 1	1
TRL_xsl	Level 2	1
TRL_xsl	Level 1	1
TRL_xsl	Level 2	1
TRL_xsl	Level 4	1
TRL_xsl	Level 4	1
TRL_xsl	Level 3	1
TRL_xsl	Level 3	1
TRL_xsl	Level 1	1
TRL_xsl	Level 3	1
TRL_xsl	Level 2	1
TRL_xsl	Level 3	1
TRL_xsl	Level 4	1
TRL_xsl	Level 4	1
TRL_xsl	Level 4	1
TRL_xsl	Level 1	1
TRL_xsl	Level 3	1
TRL_xsl	Level 2	1
TRL_xsl	Level 2	1
TRL_xsl	Level 2	1
TRL_xsl	Level 3	0
TRL_xsl	Level 2	1
TRL_xsl	Level 1	1
TRL_xsl	Level 4	1
TRL_xsl	Level 4	1
TRL_xsl	Level 3	1
TRL_xsl	Level 4	1
TRL_xsl	Level 2	1
TRL_xsl	Level 3	1
TRL_xsl	Level 1	1
TRL_xsl	Level 2	1
TRL_xsl	Level 4	1
TRL_xsl	Level 2	1
TRL_xsl	Level 3	1
TRL_xsl	Level 4	1
TRL_xsl	Level 1	1
TRL_xsl	Level 1	1
TRL_xsl	Level 1	1
TRL_xsl	Level 1	1
TRL_xsl	Level 2	1